Organization Name,URL,Type
Pflanzencenter Keller GbR,/PlantAddiction,company
KDC SD24,/KDC-SD242,company
lab25 GmbH,/lab25,company
PayGuardian,/PayGuardian,company
Normally Ltd,/Normally,company
FactSet,/FactSet-Enterprise,company
Cordial,/cordialexp,company
Sita,/sitaaero,company
EPFL Data Science Lab,/epfl-dlab,university
EquiStamp Inc.,/EquiStampInc,company
Auror,/AurorNZ,company
Vectors,/VectorsAI,company
WordChef,/wordchef,company
"Evoda , evolving data",/Evoda,company
Suki,/SukiAI-NonProd,company
Harmonic AI Inc,/harmonicAIinc,company
Mind Lab 56,/ml56,company
Canto,/CantoINC,company
Transline Deutschland GmbH,/transline,company
Welxio AG,/Welxio-AI,company
Collinear AI,/collinear-ai,company
TaxNow,/TaxNow,company
Sage,/Tifin-Sage,company
IYKYKnow.ai,/iykyk-team,company
BlueOceansAI,/BlueOceans,company
RESMP.DEV,/RESMPDEV,company
Plejd AB,/plejd,company
Lumar-io,/Lumar-io,company
Amortalize,/amortalize,company
Relation Digitale,/Uniy,company
Research Study Group One (RSG01),/RSG01,classroom
zamijsks,/njskak,No Type Found
Intuitivo,/intuitivo,company
REATH-Global,/REATH-Global,company
IU International University,/IUInternationalUniversity,university
HuggingFaceFW,/HuggingFaceFW,community
Alinia AI,/alinia,company
MahiML,/mahiml,company
AnukarOP,/OPBOLTEEEE,non-profit
Nothing XD,/Anknymous9ytOP,non-profit
WEEL,/weeladmin,company
DBCDigital,/DBCDigital,company
Club Blammo,/ClubBlammo,No Type Found
KPersonal,/KPersonal,university
SEMILAB Semiconductor Physics Laboratory Co. Ltd.,/semilab,company
Random Thought Lab,/random-thought-lab,community
Digital Twin IDI NTNU,/dt-wearable,university
elazul,/elazul,No Type Found
Vhhjbbt,/hhhhhii,No Type Found
SignalPET,/SignalPET,company
SoftACE,/SoftACE,non-profit
Redactable.com,/redactable-llm,company
ANP,/ANPICT,company
Khronos LLC,/khr-dev,company
kansals,/vkansal,non-profit
Shader Inc.,/ShaderAI,company
lab42,/lab42,company
🅣🅛🅣🅖,/tulsalanguagetechnologygroup,company
Zomato Limited,/zomato,company
Coframe,/coframe,company
Inventory Systems,/inventorysystems,company
Lumisync,/Lumisync,company
The Trading AI,/trading-ai,company
Triple,/jointriple,company
The Self Research Institute,/TheSelfResearchInstitute,non-profit
Construction Bid Source,/constructionbids,company
Eduworks Corporation,/EduworksCorporation,company
shivis,/nonprof,non-profit
Securex,/SecurexBE,company
Starkdata,/starkdata,company
Resleeve B.V.,/Resleeve,company
GIP mbH,/GIPmbH,No Type Found
REALMS,/WilliamWrathborneRealms,non-profit
HF Hub Maintainers,/hf-hub-maintainers,community
"Davis Veterinary Medical Consulting, Inc.",/DVM-Consulting,company
MicroHealthLLC,/MicroHealth,company
Red Mastiff,/RedMastiff,company
HelloBible,/Hello-Bible,non-profit
AInablers,/AInablers,company
OmniFunnel Marketing,/OFMDigital,company
The Mosaic Company,/MosaicStealth,company
Precision Machine Augmentation,/precision-machine-augmentation,company
"OpenAgents, Inc.",/OpenAgents,company
"Alipay (Hangzhou) Information Technology Co., Ltd.",/internationalant,company
Xpendit SpA,/Xpendit,company
Velsssllc,/wesss1,company
Northeast Wisconsin Technical College,/NWTC,university
Charles Elena,/Charles-Elena,company
Cerebral Technology Services,/CerebralTech,company
Photon Technologies Kft.,/PhotonkaAI,No Type Found
Raiin,/raiintesting101,No Type Found
Parker Financial Advice,/ParkerFA,company
"Aiera, Inc.",/Aiera,company
Zack.ai,/zackai,company
Munich Life Management Corporation Limited,/MunichReCorporation,company
"Integration Technologies Group, Inc.",/ITGHQ,company
FS Investments,/fsinvestments,company
CGIAR,/CGIAR,company
Roost.ai,/roost,company
EDIMA solutions s.r.o.,/EDIMAsolutions,company
BINARIAL,/BINARIAL,company
AccuCodeAi Inc,/accucodeai,company
Schuchert Managementberatung GmbH & Co. KG,/factro,company
Precision Content,/PrecisionContent,company
Mars Innovation Labs,/marsinnovationlabs,No Type Found
Phia,/phiaco,company
Neural Density,/neuraldensity,company
AKAYOU,/AKAYOU,company
cocone-ai,/cocone-ai,No Type Found
GreenSteps Journey,/GreenStepsJourney,company
Zeustek Global & ICT Solutions,/zeustek,company
DataWisp Brasil,/DataWisp,non-profit
Acto GmbH,/ActoDS,company
Graviton Inc,/GravitonInc,company
Relentless Global LLC,/RelentlessGlobalLLC,company
Nutanix,/Nutanix,company
Tailored AI,/Tailored-AI,company
Alagant Tech LLC,/Alagant,company
chuks inc,/emiomacollins,company
testt,/divyansh2001,company
PROBIS GmbH,/PROBIS-Cloud,company
Genetika+,/GenetikaPlus,company
Vajra global,/VajraGlobalAI,company
Rhapsody Ltd,/rhapsodylabs,company
Deutsche Telekom - Hugging Face,/dtxhf,company
SDInstant,/SDInstant,non-profit
RETENGR,/RETENGR,company
SmartTasks.cloud,/smarttasks,company
ChangeCX,/ChangeCX,company
talkevent Software GmbH,/talkeventSoftwareGmbH,company
Wellia Well Being,/Wellia,company
reflek.io,/reflek-io,company
Lucido Technology Consulting,/FL-LTC,company
Emerge,/emerge-tech,company
Pyxos Inc,/Pyxosuser,company
pyxos-ai,/PyxosAI,company
AIFLow.ML,/AIflowml1,company
Unify Hub,/unifyhub,company
LibreML,/Impulse20000,company
Davorge,/DavorgeLLC,company
GNEISS,/GNEISS,company
HyperspaceAI,/hyperspaceai,company
WYN,/DriveSuccess23095,company
Kurios,/JessieKing,company
OpenNode,/opennode,company
Sony Semiconductor Israel,/SSI-DNN,company
Boosted.ai,/boostedai,company
Journeyman247.com,/Watt-Wizard,company
HimothyFTB,/FTBChance,non-profit
quantmate,/quantmate,company
Sizzle,/SizzleGG,company
Topology Invest,/topologyai,company
Wishroll,/wishroll,company
Holare,/holare,classroom
Avenue Logistics,/AvenueLogistics,company
Cayenta,/Cayenta,company
Narrative I/O,/narrative-io,company
Tintoral,/tintoral,company
Charon,/charon24,non-profit
"Automatique, Inc.",/Automatique,company
Lexset,/Lexset,company
hc-pj-l72j,/hc-pj-l72j,company
Slominski,/Spynet000,non-profit
Zaibr Innovations GmbH,/Zaibr,company
DC,/byte,No Type Found
flexor,/flexor,company
Wildlife Protection Solutions,/wpswatch,non-profit
ChasingRabbits,/chasingrabb1ts,company
Central Mutual Insurance,/centralminsurance,company
vAudience,/vaud,company
Cience,/cience,company
Bytescribe,/bytescribe,company
Bytetrade,/Bytetrade,company
TachyHealth,/TachyHealth,company
Keystone Strategy,/keystone-strategy,company
Jedify,/Jedify,company
Arcelik A.Ş.,/ArcelikGPT,company
Arcuity,/Arcuity-Grok,company
Predibase,/predibase,company
Cronbot Software Private Limited,/CronBotAI,company
Hitch Software,/hitchsoftware,company
FFusion AI,/FFusion,company
FoobarProtocol,/foobarprotocol,non-profit
Superinsight,/Superinsight,company
Harpy Chat,/HarpyChat,company
Wessini,/Wessini,company
InfotoIntell,/InfotoIntell,company
Synth AI Labs Inc,/infer-so,company
Tasty Delicious Games,/TastyDeliciousGames,company
AI-Amplified,/aimped,company
digitalwas solutions,/digitalwas-solutions,company
Soccerment,/Soccerment,company
Cognizen Arge Mühendislik ve Yazılım Anonim Şirketi,/Cognizen,company
Novo Nordisk,/NovoNordisk,company
HiStellar LLC,/histellar,company
Core42,/core42,company
Sonia Solutions GmbH,/SoniaSolutions,company
Get Real Labs,/GetRealLabs,company
VikingCloud,/VikingCloud,company
VelesBSD Team,/VelesBSD,community
Pace Automation Limited,/paceautomation,company
2nd Order Solutions,/2OS,company
CIVITAS HEALTH SERVICES INC,/CivitasVoltooi,company
"Theus, Incorporated",/theus-ai,company
Deutsche Bahn,/deutschebahn,company
Eek Games,/EekGames,company
SparkTarget LLC,/sparktarget,company
Kinetic Seas,/kineticseas,company
AceJEE,/acejee,company
Corelight,/corelight,company
octopws,/octopws-io,company
HoundDog.ai,/hounddogai,company
monadix,/Monad-dz,company
Vista Higher Learning,/vistahigherlearning,company
vectorai,/vectorai,company
ID Theory,/ID-Theory,company
AI Flow Solutions,/AIFS,company
LG Electronics North America,/lgeusa,company
Noble Artificial Intelligence,/NobleAIInc,company
ASB BANK,/ASBBANK,company
Playfully AI,/playfully,community
Tensor ML LLC,/TensorML,company
Ritual,/Ritual-Net,company
Graph for AI,/Graph4AI,community
ikontel solutions pvt ltd,/ikontelsolututions,company
Process Improvement Explorer,/AutomatedProcessImprovement,classroom
MedicaltranscribeandCDS,/MedicaltranscribeandCDS,company
Voyage AI,/voyageai,company
Berada,/Berada,company
Kibl AI,/sacha-kibl,company
JO Marketing and Consulting,/JOMARCON,company
ArtHeart,/ArtHeartAi,company
UKAISolutions,/UKAIS,company
HuggingPRE,/HuggingPRE,company
SRM-ALPHA,/SRM-ALPHA,company
Integra Technologies,/integratech,company
GV AI Technologies inc.,/GV-AI,community
MyMi,/MyMi,company
Copysmith Org,/CopysmithOrgAI,company
Eirene AI,/aieirene,company
Tagger Marketing,/TaggerMarketing,company
FinGPT,/FinGPT,non-profit
Balpreet Singh,/365aitechOrg,company
Applied Intelligence,/JORTechnologies,company
Morrigu AI,/MorriguAi,company
TestDDM,/avbdfgasdrag,No Type Found
GitLab,/Gitlab-AI,company
Finster AI,/finsterai,company
FYEO Inc,/FYEO,company
imaginarium kids,/imaginariumkids,company
Modelex lab LLC,/ModelexLAB,company
HongYi-zus,/HO-Y,non-profit
Troublemaker AB,/trubl,company
Plexa Labs,/Plexalabs,company
QueryIt,/QueryIt,company
NeuraFlash,/NeuraFlash,company
iGenius,/iGeniusAI,No Type Found
L3i++,/l3ipp,university
Social27 Inc,/Social27,company
GPTAlert,/GPTAlert,company
Threat Tec,/ThreatTecOrg,company
Quantum Excalibur Corp.,/QuantumExcaliburCorp,company
"Shenzhen Xihe Future Technology Co., Ltd",/MangoPower,company
DecorDynamo,/stevenynie,company
Dermody Properties,/Dermody,company
Vxceed,/Vxceed,company
Fair Square Medicare,/fairsquaremedicare,company
spider,/spiderisme2,company
jackson reaper,/spiderisme5,non-profit
SeaLLMs - Language Models for Southeast Asian Languages,/SeaLLMs,company
io.net,/ionet-official,company
InfiniGIS,/infinigis,company
Dinosaur AI Hub,/rmitgenai,No Type Found
Tesseract Holdings,/tesseract-holdings,company
LLMLocal,/LLMLocal-Org,community
Avant,/avantllc,No Type Found
HomeQgo,/homeqgo,company
Ordinary Agency,/webdev-oa,university
puligriff,/puligriff,company
UNIVA,/TeamUNIVA,company
Next Level Marketing,/MichaelDataNerd,company
lythium,/lythium,company
AFAS software,/AFASsoftware,No Type Found
Artivatic Data labs,/Artivatic-datascience,company
AUP2P Corp.,/AUP2P,company
Siguiente,/SiguienteGlobal,company
"ContractIO, Inc",/contractio,company
UofT CSC317: Computer Graphics,/CSC317-UofT,classroom
epik,/epik-admin,company
Thegcseclassroom,/Thegcseclassroom,classroom
Brivo Systems LLC,/Brivo,company
Michał Kowalski - SciOps,/SciOps,company
WizHealth LLC,/wizhealth,company
AIRWORKX,/AIRWORKS,company
Wisary,/wisarymain,company
HappyDoc,/HappyDoc,company
Leftshifted Ltd,/LeftshiftedAI,company
Hengxing LLC,/HengxingLLC,company
Forum Systems Inc,/forumsystems,company
FundRisQ,/frq-fundrisq,No Type Found
Loops,/useloops,company
Tonys Org,/tonysorg,company
Nomen Klatura,/nomen-klatura,company
dk,/dk141414,No Type Found
Saarthi.AI,/saarthiai,company
Cloud All In LLC,/cloudallin,company
Anima,/Biomimicry-AI,company
JLauridsen,/JLauridsenOrg,company
Securiti.ai,/Securiti,company
Claimant,/Claimant,company
wesdtai,/wesdtai,community
Aura Intelligence,/aura-intelligence,company
X-ChloeOperationMangement,/X-C0M,non-profit
Modelex deep learning,/Modelexdl,non-profit
Nucleix LTD,/NucleixLTD,company
IntelliGrowAI,/IntelliGrowAI,community
MKAI,/mickekringai,non-profit
ELYZA Lab,/ELYZA-Lab,company
Zep AI,/zepai,company
kmodi,/kmodi,No Type Found
Infinity AI,/toinfinityai,company
Curawork GmbH,/Curawork,No Type Found
Piestar,/Piestar,company
HRK,/HRK0777,non-profit
Gage ML,/gageml,company
Lumona,/Lumona,company
Planet Access,/planetaccess,company
Luluu,/Anjelnassaaa,community
TestDo0msong,/TestDo0msong,No Type Found
Rapiq,/Rapiq,company
NRI and CoreBTS,/CoreNRI,company
abhaynerd0x,/abhaynerd0x,company
Wallie,/WallieAiLLC,company
MindWisdom,/MindWisdom,community
Ujd,/Behotlune,company
Michael Fraser,/DiligenceResearchAU,company
Tessact Private Limited,/Tessact,company
SoftDisquiet.com,/SatanicSmores-Admin,company
HPE AI Practice,/hpeaipractice,company
Stiegler EdTech,/stiegler,company
My Company,/mycompany,company
AI at Meta,/facebook,company
Microsoft,/microsoft,company
Hugging Face,/huggingface,company
Google,/google,company
Bayerische Staatsbibliothek,/dbmdz,non-profit
Musixmatch,/Musixmatch,company
CLUE benchmark,/clue,non-profit
Allen Institute for AI,/allenai,non-profit
AI Student Society,/ai2s,non-profit
nboost,/nboost,company
NLP for Healthcare,/NLP4H,No Type Found
Urduhack,/urduhack,non-profit
DeepChem,/DeepChem,non-profit
RAPIDS Open GPU Data Science,/RAPIDS,company
Illuin Technology,/illuin,company
SparkBeyond,/SparkBeyond,company
Hate-ALERT,/Hate-speech-CNERG,university
ALINEAR CORPORATION,/ALINEAR,company
Indico Data Solutions,/indico,company
Skim AI Technologies,/skimai,company
Codegram,/codegram,company
datagrand,/datagrand,No Type Found
Language Technology Research Group at the University of Helsinki,/Helsinki-NLP,university
Allegro ML Research,/allegro,company
Decision Labs,/decisionlabs,company
Tereveni AI,/Tereveni-AI,company
Weights and Biases,/wandb,company
reSearch2vec,/Research2Vec,non-profit
SAP AI Research,/sap-ai-research,No Type Found
Social Media IE,/socialmediaie,non-profit
Mailchimp,/Mailchimp,company
Castorini,/castorini,university
spentaur,/SPENTAUR,non-profit
Hooshvare,/hooshvare,non-profit
Hooshvare Research Lab,/HooshvareLab,non-profit
Adeneye Abdulfatah Adebola,/r0b0ts,company
CodistAI,/codistai,company
A-ware UG,/a-ware,company
NeuML,/NeuML,company
UVA QData Lab,/qdata,university
TextAttack,/textattack,No Type Found
EMBEDDIA H2020 project 825153: Cross-Lingual Embeddings for Less-Represented Languages in European News Media,/EMBEDDIA,university
Giganticode,/giganticode,university
NYU Machine Learning for Language,/nyu-mll,university
arabicenglish,/arabicenglish,No Type Found
LINHD POSTDATA,/linhd-postdata,university
RSVP.ai,/rsvp,company
Ashis Samal,/revnlp,non-profit
"Inversiones, Analisis y Consultoria de Marca",/ICAM,non-profit
SanayCo,/SanayCo,company
VinAI Research,/vinai,company
Southern African Transformer Language Models,/SATLM,non-profit
Capreolus,/Capreolus,No Type Found
ambeRoad,/amberoad,company
Mawdoo3 AI,/mawdoo3-ai,company
Chemoinformatics and Molecular Modeling Laboratory KFU,/cimm-kzn,university
Onepoint Consulting Ltd,/onepoint,company
Kuzgunlar,/kuzgunlar,non-profit
HuggingTweets,/huggingtweets,No Type Found
Neuraly AI,/neuraly,company
ArtikelSchreiber.com,/SebastianEnger,company
cleopatra,/FFZG-cleopatra,university
overfit,/overfit,non-profit
T-Systems on site services GmbH,/T-Systems-onsite,company
top-network,/unideeplearning,company
"UMR 7114 MoDyCo - CNRS, University Paris Nanterre",/MoDyCo,university
"Bewgle, Inc",/bewgle,company
Computational Language Understanding  Lab,/clulab,university
Objective Function,/ObjectiveFunction,company
Twinters apps,/twinters,non-profit
Algolia,/algolia,company
Omnipotent,/Omnipotent,non-profit
Deep Learning Brasil,/dlb,university
DL4NLP Research Group,/dl4nlp-rg,university
unhookedlabs,/unhookedlabs,company
Elhuyar Foundation,/elh-eus,non-profit
UNC NLP,/unc-nlp,university
Tutti Tech LLC,/TuttiTech,No Type Found
Sentence Transformers,/sentence-transformers,university
ItcastAI,/ItcastAI,No Type Found
TODBERT,/TODBERT,No Type Found
Hahn Air Lines GmbH,/HahnAir,company
ThaiKeras and Kaggle,/ThaiKeras,non-profit
unicamp-dl,/unicamp-dl,university
German NLP Group,/german-nlp-group,non-profit
WikiFactCheck-English,/wikifactcheck,university
Geotrend,/Geotrend,company
Rostlab,/Rostlab,university
Everyware Technologies,/everyware,company
Zignite Labs,/zignite,company
Jess Pinyin,/apexhealthtech,company
Sunder Rajan,/Sunder,non-profit
DeepSee.ai,/DeepSee,company
SmokeTrees,/SmokeTrees,company
SVA,/svalabs,company
loodos,/loodos,company
Ghana NLP,/Ghana-NLP,non-profit
Fachhochschule Südwestfalen,/fhswf,university
GroNLP,/GroNLP,university
Human Language Technology Group at SZTAKI,/SZTAKI-HLT,university
Algorine Inc,/Algorine,company
funnel-transformer,/funnel-transformer,university
AI4Bharat,/ai4bharat,non-profit
TorchExpo,/torchexpo,non-profit
utterworks,/utterworks,company
Askdata,/askdata,company
Pied Piper,/piedpiper,company
Typeform,/typeform,company
7TH Tower Technologies Pvt. Ltd.,/Laksh,company
AgentPublic,/AgentPublic,No Type Found
Brainial BV,/brainial,company
squeezebert,/squeezebert,university
Indo Benchmark,/indobenchmark,non-profit
Thuruvan AI,/thuruvan,company
Posos,/Posos,company
Test,/ProsaAI,company
Hoxton,/hoxton,university
Athens University of Economics and Business - NLP Group,/AUEB-NLP,university
Here and There,/midout,company
Xatkit,/Xatkit,company
Tal,/LightTag,company
Enrico Ros,/enricoros,non-profit
Maastricht Law & Tech Lab,/maastrichtlawtech,university
WordLift - AI-Powered SEO,/WordLift,company
Rajiv Dulepet,/masaccio,company
NeuralSoftTech,/NeuralSoftTech,company
"Biological Natural Language Processing Laboratory, Huazhong Agricultural University",/BioNLP-HZAU,university
Salesforce,/Salesforce,company
CKIP Lab,/ckiplab,non-profit
CheckStep,/checkstep,company
typica.ai,/TypicaAI,company
omidorg,/omidorg,non-profit
NewAnse,/NewAnse,company
FPTAI,/FPTAI,company
Verloop,/verloop,company
Open Legal Data,/openlegaldata,non-profit
UBSTORE,/UBSTORE,company
Grano a Mano Panetteria,/granoamano,company
DLSU Center for Language Technologies (CeLT),/dlsucelt,university
GrizAI Ltd,/GrizAI,company
Koko,/koko,company
Software Engineering for Business Information Systems (sebis),/SEBIS,university
Aidan,/Aidanorg,company
Telugu Resources,/scsmuhio,non-profit
HUAWEI Noah's Ark Lab,/huawei-noah,company
Lu Jia Hui,/GETMARKED-AI,No Type Found
Namkin,/Namkin,company
Test Corp.,/TestCORP,non-profit
WK,/WK,non-profit
julien wuthrich,/Gorgias,company
Rasa,/rasa,company
convoy-ml,/Convoy,company
Mouse At Work,/mouseatwork,company
Language Technology Lab @University of Cambridge,/cambridgeltl,university
pliik AG,/pliikag,company
Thinkmill LLC,/thinkmillorg,company
ZIRO Org,/ziroorg,company
glosaNLP,/glosa,company
Tao Li,/UnQover,non-profit
indigo.ai,/indigo-ai,company
InstaDeep Ltd,/InstaDeepAI,company
Miðeind ehf.,/mideind,company
PyTorch Lightning,/lightning,company
refs,/Referer,non-profit
My Test Org,/changun-org,non-profit
Брифли,/briefly,No Type Found
predict42,/p42,company
Astron International,/Astron,company
Persian NLP,/persiannlp,non-profit
Ray Project (Anyscale),/ray-project,company
Anton Nb,/informatika,university
Perkebunan,/Perkebunan,non-profit
Vector AI,/vector-ai,company
Red Marker,/red-marker,No Type Found
asgard.ai,/asgardai,company
Biomedical NLP,/bionlp,non-profit
Ramon's Org,/Kiri,company
Conversational AI (CoAI) group from Tsinghua University,/thu-coai,university
Backprop,/kiri-ai,company
Forage,/forage,non-profit
Jeffo Testing,/jeffotesting,non-profit
Jolt Capital,/JoltCapital,company
Piotr,/PiotrIP,non-profit
Vespa.ai - The open big data serving engine,/vespa-engine,non-profit
Quattr (Lab),/Quattr-Inc,company
Thierry Lunati,/kadomi,company
the ai gpt,/aigpt,non-profit
NLP HUST,/NlpHUST,non-profit
Cinnamon AI,/Cinnamon,company
Matteo Mazzola,/chumpblocckamiENT,No Type Found
Former Magic Inc.,/formermagic,company
Stefano Antinori,/Acmesoft,non-profit
Rufen Khokhar,/RKGroup,company
Aftermarket.pl,/aftermarket,company
Robert A Richardson,/Robertrichardson,non-profit
firstmediabuyer,/firstmediabuyer1,No Type Found
"Data Analytics and Intelligence Research, IIT Delhi",/DAIR,university
Zectr Limited,/zectrinhk,company
[x]cube LABS,/xcubelabs,company
Universitätsklinikum Freiburg,/uklfr,university
"Laboratory of Machines, Intelligent and Distributed Systems, Hellenic Army Academy",/LMIDS-SSE,university
Núcleo de Tratamento de Dados e Informações da SecexSaúde,/ntdi,No Type Found
Trusted-committers,/trusted-committers,No Type Found
Thakaa Center,/Thakaa,non-profit
Fujitsu Laboratories,/Fujitsu,company
edmarathon,/Edmarathon,No Type Found
AmalgamRx,/shari-amalgamrx,company
FDB Systems,/fdb-systems,company
GeekFeed,/geekfeed,company
Lance Hughes,/thisislance,No Type Found
"Arabic Language Technologies, Qatar Computing Research Institute",/QCRI,university
Wong,/neeee2,No Type Found
